6363c5c3a747f60d3e71a72d,,1982,我國農場生產函數之實證選擇,學士論文,,史濟增教授指導,,,,,,臺灣大學農業經濟學系,,臺北市,實際資料
6363c5c3a747f60d3e71a72d,,1987,我國農業部門模型有效性之檢定,碩士論文,,史濟增教授指導,,,,,,臺灣大學農業經濟學研究所,,,
6363c5c3a747f60d3e71a72d,,1994,農業發展條例立法決策過程之研究─新制度經濟學之應用,博士論文,,陳超塵教授與陳希煌教授指導,,,,,,臺灣大學農業經濟學研究所,,,
6363c5c3a747f60d3e71a72d,,1988,農產運銷改善與其制度之合理化,農產運銷季刊,,,,,75,7,16,中華民國農產運銷協會,,,
6363c5c3a747f60d3e71a72d,,1988,我國農業有關法規立法之回顧與檢討,經社法制論叢,,,,,2,181,226,行政院經濟建設委員會健全社會經濟法規小組,,,
6363c5c3a747f60d3e71a72d,,1990,稻米生產及稻田轉作計畫後續措施之探討,經社法制論叢,,,,,5,283,298,行政院經濟建設委員會健全社會經濟法規小組,,,
6363c5c3a747f60d3e71a72d,常惠廉,1993,農業發展條例立法背景與修正方向之探討,經社法制論叢,,,,,11,281,307,行政院經濟建設委員會健全社會經濟法規小組,,,
6363c5c3a747f60d3e71a72d,黃財源,2000,台塑六輕加入後國內油品市場之賽局分析,臺灣經濟金融月刊,,,,,291,29,35,臺灣銀行,,,
6363c5c3a747f60d3e71a72d,,2001,農業發展條例形成過程,經社法制論叢,,,,,28,195,224,行政院經濟建設委員會健全社會經濟法規小組,,,
6363c5c3a747f60d3e71a72d,,2003,農業策略聯盟型態選擇準則之探討,農業經營管理年刊,,,,,9,220,239,臺灣農業經營管理學會,,,
6363c5c3a747f60d3e71a72d,游秀文、莊慶達,2004,台灣漁會恢復實施股金制度可行性之研究,農民組織學刊,,,,,6,79,119,中華民國農民團體幹部聯合訓練協會,,,
6363c5c3a747f60d3e71a72d,廖安定,2006,台灣農業支持指標之估算及其政策意涵之探討,農業與經濟,,,,,36,139,174,臺灣大學農業經濟系,,,
6363c5c3a747f60d3e71a72d,張淑賢、傅子煜,2009,Crops and food security- experiences and perspectives from Taiwan,Asia Pacific Journal of Clinical Nutrition,,,,18,4,520,526,Qingdao University,,,
6363c5c3a747f60d3e71a72d,徐世勳,1993,公平交易法與農業產銷秩序,公平交易法與市場機能研討會,公平交易法與市場機能研討會論文集,,,,,23,44,公平交易委員會,,,
6363c5c3a747f60d3e71a72d,,1997,我國反傾銷制度之現況與展望,世界貿易組織架構下之貿易救濟制度研討會,,,,,,,,中華亞太經濟與管理學會,,,
6363c5c3a747f60d3e71a72d,,1997,我國跨世紀反傾銷制度之展望,跨世紀貿易救濟制度之變革研討會,,,,,,,,經濟部貿易調查委員會,,,
6363c5c3a747f60d3e71a72d,,1998,技職院校國貿科系教學暨實習整合系統開發實例,重點科技實作論文研討會,,,,,,,,教育部科技顧問室、私立龍華工商專科學校,,,
6363c5c3a747f60d3e71a72d,,1999,農業立法在農業發展上之經濟意義與功能,兩岸青年學者論壇─農業發展學術研討會,,,,,,,,台灣大學農業經濟系、中華發展基金管理委員會,,,
6363c5c3a747f60d3e71a72d,,2001,Agricultural Diversification and International Competitiveness in Taiwan,Study Meeting on Agricultural Diversification and International Competitiveness,,Mubarik Ali,,,,,,Asian Productivity Organization,,,
6363c5c3a747f60d3e71a72d,陳雄茂、林坤豐、廖明輝,2001,知識經濟環境下台灣傳統產業之轉型,90年經濟部培訓科技背景跨領域高級人才計畫海外培訓成果發表會,,,,,,,,工業技術研究院、國立政治大學科技管理研究所,,,
6363c5c3a747f60d3e71a72d,,2003,企業專利管理戰略之探討,兩岸專利保護論壇,,,,,,,,中國湖北省武漢市政府,,,
6363c5c3a747f60d3e71a72d,,2003,農業策略聯盟結盟型態評估準則之探討,21世紀台灣農業與資源經濟新形勢研討會,,,,,,,,台灣農業與資源經濟學會,,,
6363c5c3a747f60d3e71a72d,,2003,Study of Basic Agricultural Policies in the Republic of China,Symposium on Comparative Study of Basic Agricultural Policies in MCs (Phase I),,,,,,,,Asian Productivity Organization,,,
6363c5c3a747f60d3e71a72d,,2005,The Survey of Basic Agricultural Policies in Republic of China,Symposium on Comparative Study of Basic Agricultural Policies in MCs (Phase III),,,,,,,,Asian Productivity Organization,,,
6363c5c3a747f60d3e71a72d,,2006,Multi-functionality of Agriculture in TaiwanMulti-functionality of Agriculture in Taiwan,28th RECA Seminar on “Multifunctionality of Agriculture in the context of WTO Negotiations on International Agricultural Trade”,,,,,,,,Afro-Asian Rural Development Organization,,,
6363c5c3a747f60d3e71a72d,,2006,加入WTO對我國農業影響之檢討與因應,兩岸入會後台灣產業因應之道與貿易救濟制度業界意見交流公聽會,,,,,,,,屏東商業技術學院、經濟部貿易調查委員會,,,
6363c5c3a747f60d3e71a72d,廖安定、陳啟榮,2006,價值鏈管理應用在農業轉型升級政策之研究,臺灣農村經濟學會95年學術研討會,,,,,,,,臺灣農村經濟學會,,,
6363c5c3a747f60d3e71a72d,,2007,Monitoring and Evaluation of Agricultural Policies in the Republic of China,Working Party Meeting of Experts on Monitoring Basic Agricultural Policies,,,,,,,,Asian Productivity Organization,,,
6363c5c3a747f60d3e71a72d,,2007,Situation and Challenges and New Directions of Food System in Taiwan,2007 REST-KAEA International Seminar on Agricultural Economics and Resources,,,,,,,,REST&KAEA,,,
6363c5c3a747f60d3e71a72d,,2008,全球農業相關情勢發展與我國農業因應政策全球農業相關情勢發展與我國農業因應政策,加入WTO後台灣農業發展趨勢與因應之道業界意見交流公聽會,,,,,,,,屏東商業技術學院、經濟部貿易調查委員會,,,
6363c5c3a747f60d3e71a72d,,2008,農業智慧財產鑑價方法與機制設計之探討,臺灣農村經濟學會97年學術研討會,,,,,,,,臺灣農村經濟學會,,,
6363c5c3a747f60d3e71a72d,,2009,台灣健康農業之推動與展望,新形勢下海峽兩岸農業合作與發展研討會,開拓海峽兩岸農業合作新視野論文集,任愛榮,,,,,,中國農業出版社,,,
