farm,我國農場生產函數之實證選擇,1982far_pro_agr_a10,pdf,a_thesis,production,agroeconomics,,all,true,actual data
farm,我國農業部門模型有效性之檢定,1987far_res_agr_a11,pdf,a_thesis,research,agroeconomics,,all,true,actual data
farm,農業發展條例立法決策過程之研究─新制度經濟學之應用,1994far_str_far_a12,pdf,a_thesis,strategy,farmlaw,,all,true,actual data
farm,農產運銷改善與其制度之合理化,1988far_mar_pol_b10,pdf,b_journal,marketing,policy,,all,true,actual data
law,我國農業有關法規立法之回顧與檢討,1988law_str_far_b11,pdf,b_journal,strategy,farmlaw,,all,true,actual data
farm,稻米生產及稻田轉作計畫後續措施之探討,1990far_str_pol_b12,pdf,b_journal,strategy,policy,,all,true,actual data
farm,農業發展條例立法背景與修正方向之探討,1993far_str_far_b13,pdf,b_journal,strategy,farmlaw,,all,true,actual data
economics,台塑六輕加入後國內油品市場之賽局分析,2000eco_str_mic_b14,pdf,b_journal,strategy,microeconomics,,all,true,actual data
law,農業發展條例形成過程,2001law_kno_far_b15,pdf,b_journal,knowledge,farmlaw,,all,true,actual data
firm,農業策略聯盟型態選擇準則之探討,2003fir_org_man_b16,pdf,b_journal,organization,management,,all,true,actual data
farm,台灣漁會恢復實施股金制度可行性之研究,2004far_org_pol_b17,pdf,b_journal,organization,policy,,all,true,actual data
farm,台灣農業支持指標之估算及其政策意涵之探討,2006far_obj_agr_b18,pdf,b_journal,object,agroeconomics,,all,true,actual data
farm,Crops and food security- experiences and perspectives from Taiwan,2009far_ris_agr_b19,pdf,b_journal,risk,agroeconomics,,all,true,actual data
law,公平交易法與農業產銷秩序,1993law_mar_pol_c10,pdf,c_conference,marketing,policy,,all,true,actual data
trade,我國反傾銷制度之現況與展望,1997tra_mar_pol_c11,pdf,c_conference,marketing,policy,,all,true,actual data
trade,我國跨世紀反傾銷制度之展望,1997tra_mar_pol_c12,pdf,c_conference,marketing,policy,,all,true,actual data
trade,技職院校國貿科系教學暨實習整合系統開發實例,1998tra_ICT_ICT_c13,pdf,c_conference,ICT,ICT,,all,true,actual data
farm,農業立法在農業發展上之經濟意義與功能,1999far_str_far_c14,pdf,c_conference,strategy,farmlaw,,all,true,actual data
farm,Agricultural Diversification and International Competitiveness in Taiwan,2001far_str_pol_c15,pdf,c_conference,strategy,policy,,all,true,actual data
IPR,知識經濟環境下台灣傳統產業之轉型,2001IPR_inn_IPR_c16,pdf,c_conference,innovation,IPR,,all,true,actual data
IPR,企業專利管理戰略之探討,2003IPR_IPR_IPR_c17,pdf,c_conference,IPR,IPR,,all,true,actual data
firm,農業策略聯盟結盟型態評估準則之探討,2003fir_org_man_c18,pdf,c_conference,organization,management,,all,true,actual data
farm,Study of Basic Agricultural Policies in the Republic of China,2003far_str_pol_c19,pdf,c_conference,strategy,policy,,all,true,actual data
farm,The Survey of Basic Agricultural Policies in Republic of China,2005far_str_pol_c20,pdf,c_conference,strategy,policy,,all,true,actual data
farm,Multi-functionality of Agriculture in TaiwanMulti-functionality of Agriculture in Taiwan,2006far_net_pol_c21,pdf,c_conference,netzero,policy,,all,true,actual data
farm,加入WTO對我國農業影響之檢討與因應,2006far_ris_agr_c22,pdf,c_conference,risk,agroeconomics,,all,true,actual data
farm,價值鏈管理應用在農業轉型升級政策之研究,2006far_str_man_c23,pdf,c_conference,strategy,management,,all,true,actual data
farm,Monitoring and Evaluation of Agricultural Policies in the Republic of China,2007far_obj_pol_c24,pdf,c_conference,object,policy,,all,true,actual data
farm,"Situation, Challenges and New Directions of Food System in Taiwan",2007far_str_pol_c25,pdf,c_conference,strategy,policy,,all,true,actual data
farm,全球農業相關情勢發展與我國農業因應政策全球農業相關情勢發展與我國農業因應政策,2008far_mar_pol_c26,pdf,c_conference,marketing,policy,,all,true,actual data
IPR,農業智慧財產鑑價方法與機制設計之探討,2008IPR_IPR_IPR_c27,pdf,c_conference,IPR,IPR,,all,true,actual data
farm,台灣健康農業之推動與展望,2009far_str_pol_c28,pdf,c_conference,strategy,policy,,all,true,actual data
farm,Agricultural and Food Policy Reforms in Taiwan- Food Security Perspective,2009far_str_pol_c29,pdf,c_conference,strategy,policy,,all,true,actual data
farm,The Restructuring Policy Of Agro-Manpower And Farmland In Taiwan,2015far_HRM_pol_c30,pdf,c_conference,HRM,policy,,all,true,actual data
farm,國際農產品價格水準對國內農業政策之影響與意涵,2016far_mar_agr_c31,pdf,c_conference,marketing,agroeconomics,,all,true,actual data
blockchain,How Can Blockchain Help Agriculture—Some Cases in Taiwan,2019blo_res_ITC_c32,pdf,c_conference,research,ITC,,all,true,actual data
blockchain,區塊鏈的經濟理論意涵及其在農經應用,2019blo_ICT_ICT_c33,pdf,c_conference,ICT,ICT,,all,true,actual data
farm,由農業結構看臺灣農業轉型與典範轉移,2020far_str_agr_c34,pdf,c_conference,strategy,agroeconomics,,all,true,actual data
firm,小農經濟與農業策略聯盟─陳希煌教授對臺灣農業經營的觀照與處方,2020fir_org_man_c35,pdf,c_conference,organization,management,,all,true,actual data
